第6976章扭转劣势，难度很大: https://www.xbiquge.bz/book/30892/40729834.html
第6975章积极防御才是最为重要的手段: https://www.xbiquge.bz/book/30892/40721094.html
第6974章晋军，不是罗马人能够比拟的: https://www.xbiquge.bz/book/30892/40720804.html
第6973章面对晋军的压力: https://www.xbiquge.bz/book/30892/40720505.html
第6972章晋军进攻，乃是必然: https://www.xbiquge.bz/book/30892/40720220.html
第6971章晋军，从不惧对手: https://www.xbiquge.bz/book/30892/40719845.html
第6970章怒吼声中，气势攀升: https://www.xbiquge.bz/book/30892/40719407.html
第6969章军容雄壮: https://www.xbiquge.bz/book/30892/40718943.html
第6968章大战来临的气氛: https://www.xbiquge.bz/book/30892/40717583.html
第6967章安东关，火炮三门，守军万人: https://www.xbiquge.bz/book/30892/40716452.html
第6966章晋军行动，寄予厚望: https://www.xbiquge.bz/book/30892/40716102.html
第6965章安东关不容有失: https://www.xbiquge.bz/book/30892/40715762.html
第93章 郭太: https://www.xbiquge.bz/book/30892/19014012.html
第94章 入谷罗城: https://www.xbiquge.bz/book/30892/19014013.html
第95章 斩首示众: https://www.xbiquge.bz/book/30892/19014014.html
第96章 回晋阳: https://www.xbiquge.bz/book/30892/19014016.html
第97章 糜竺: https://www.xbiquge.bz/book/30892/19014018.html
第98章 煤？: https://www.xbiquge.bz/book/30892/19014019.html
第99章 招贤馆内: https://www.xbiquge.bz/book/30892/19014022.html
第100章 英魂塔、英雄碑: https://www.xbiquge.bz/book/30892/19014023.html
第101章 陈到归心: https://www.xbiquge.bz/book/30892/19014024.html
第102章 貂蝉意许: https://www.xbiquge.bz/book/30892/19014025.html
第103章 学堂: https://www.xbiquge.bz/book/30892/19014026.html
第104章 黄门令卢高: https://www.xbiquge.bz/book/30892/19014027.html
第105章 封侯: https://www.xbiquge.bz/book/30892/19014028.html
第106章 飞鹰出动: https://www.xbiquge.bz/book/30892/19014029.html
第107章 郭嘉: https://www.xbiquge.bz/book/30892/19014030.html
第108章 任命郭嘉: https://www.xbiquge.bz/book/30892/19014032.html
第109章 郭嘉的分析: https://www.xbiquge.bz/book/30892/19014035.html
第110章 鲜卑人来了: https://www.xbiquge.bz/book/30892/19014036.html
第111章 郭嘉的计策: https://www.xbiquge.bz/book/30892/19014039.html
第112章 调兵遣将: https://www.xbiquge.bz/book/30892/19014041.html
第113章 离别前的温馨（上）: https://www.xbiquge.bz/book/30892/19014042.html
第114章 离别前的温馨（下）: https://www.xbiquge.bz/book/30892/19014043.html
第115章 三千飞骑闯草原（一）: https://www.xbiquge.bz/book/30892/19014045.html
第116章 三千飞骑闯草原（二）: https://www.xbiquge.bz/book/30892/19014046.html
第117章 三千飞骑闯草原（三）: https://www.xbiquge.bz/book/30892/19014047.html
第118章 汉帝身死天下惊: https://www.xbiquge.bz/book/30892/19014048.html
第119章 纵横鲜卑（一）: https://www.xbiquge.bz/book/30892/19014049.html
第120章 纵横鲜卑（二）: https://www.xbiquge.bz/book/30892/19014050.html
第121章 纵横鲜卑（三）: https://www.xbiquge.bz/book/30892/19014051.html
第122章 纵横鲜卑（四）: https://www.xbiquge.bz/book/30892/19014052.html
第123章 纵横鲜卑（五）: https://www.xbiquge.bz/book/30892/19014053.html
第124章 纵横鲜卑（六）: https://www.xbiquge.bz/book/30892/19014054.html
第125章 纵横鲜卑（七）: https://www.xbiquge.bz/book/30892/19014055.html
第126章 纵横鲜卑（八）: https://www.xbiquge.bz/book/30892/19014058.html
第127章 纵横鲜卑（九）: https://www.xbiquge.bz/book/30892/19014059.html
第128章 纵横鲜卑（十）: https://www.xbiquge.bz/book/30892/19014060.html
第129章 纵横鲜卑（十一）: https://www.xbiquge.bz/book/30892/19014061.html
第130章 破王庭，得神驹（上）: https://www.xbiquge.bz/book/30892/19014062.html
第131章 破王庭，得神驹（中）: https://www.xbiquge.bz/book/30892/19014063.html
第132章 破王庭，得神驹（下）: https://www.xbiquge.bz/book/30892/19014064.html
第133章 破王庭，得神驹（终）: https://www.xbiquge.bz/book/30892/19014065.html
第134章 大破鲜卑（一）: https://www.xbiquge.bz/book/30892/19014066.html
第135章 大破鲜卑（二）: https://www.xbiquge.bz/book/30892/19014067.html
第136章 大破鲜卑（三）: https://www.xbiquge.bz/book/30892/19014068.html
第137章 大破鲜卑(四): https://www.xbiquge.bz/book/30892/19014069.html
第138章 大破鲜卑（五）: https://www.xbiquge.bz/book/30892/19014070.html
第139章 大破鲜卑（六）: https://www.xbiquge.bz/book/30892/19014071.html
第140章 大破鲜卑（七）: https://www.xbiquge.bz/book/30892/19014072.html
第141章 大破鲜卑（八）: https://www.xbiquge.bz/book/30892/19014073.html
第142章 大破鲜卑（九）: https://www.xbiquge.bz/book/30892/19014074.html
第143章 大破鲜卑（十）: https://www.xbiquge.bz/book/30892/19014075.html
第144章 大破鲜卑（终）: https://www.xbiquge.bz/book/30892/19014076.html
第145章 步度根溃败: https://www.xbiquge.bz/book/30892/19014077.html
第146章 求和: https://www.xbiquge.bz/book/30892/19014078.html
第147章 步度根低头: https://www.xbiquge.bz/book/30892/19014079.html
第148章 郭嘉归心: https://www.xbiquge.bz/book/30892/19014080.html
第149章 云中: https://www.xbiquge.bz/book/30892/19014081.html
第150章 回师晋阳: https://www.xbiquge.bz/book/30892/19014082.html
第151章 戏志才出使并州: https://www.xbiquge.bz/book/30892/19014083.html
第152章 蔡邕赠书: https://www.xbiquge.bz/book/30892/19014084.html
第153章 见戏策: https://www.xbiquge.bz/book/30892/19014085.html
第154章 修路: https://www.xbiquge.bz/book/30892/19014086.html
第155章 华佗: https://www.xbiquge.bz/book/30892/19014087.html
第156章 晋酒: https://www.xbiquge.bz/book/30892/19014088.html
第157章 大汉报: https://www.xbiquge.bz/book/30892/19014089.html
第158章 曹操兴兵攻徐州: https://www.xbiquge.bz/book/30892/19014090.html
第159章 刘虞身死: https://www.xbiquge.bz/book/30892/19014091.html
