番外：陆鸣斩轮回身: https://www.xbiquge.bz/book/23758/40728029.html
番外篇，下: https://www.xbiquge.bz/book/23758/40153821.html
番外篇，中: https://www.xbiquge.bz/book/23758/40153820.html
番外篇，上: https://www.xbiquge.bz/book/23758/40149433.html
番外.叶青篇（免费）: https://www.xbiquge.bz/book/23758/40141153.html
完结感言: https://www.xbiquge.bz/book/23758/39981316.html
第134章 寒冰血脉: https://www.xbiquge.bz/book/23758/15030761.html
第135章 张牧云定亲: https://www.xbiquge.bz/book/23758/15030762.html
第136章 麒麟院挑衅: https://www.xbiquge.bz/book/23758/15030763.html
第137章 强大的特殊血脉: https://www.xbiquge.bz/book/23758/15030764.html
第138章 完全压制: https://www.xbiquge.bz/book/23758/15030765.html
第139章 双剑之战: https://www.xbiquge.bz/book/23758/15030766.html
第140章 更狂: https://www.xbiquge.bz/book/23758/15030767.html
第141章 一起上吧: https://www.xbiquge.bz/book/23758/15030768.html
第142章 在我面前，你是垃圾: https://www.xbiquge.bz/book/23758/15030769.html
第143章 交友不慎啊: https://www.xbiquge.bz/book/23758/15030771.html
第144章 调戏穆兰: https://www.xbiquge.bz/book/23758/15030772.html
第145章 又一年考核日: https://www.xbiquge.bz/book/23758/15030773.html
第146章 大武师，突破: https://www.xbiquge.bz/book/23758/15030774.html
第147章 东夷族: https://www.xbiquge.bz/book/23758/15030775.html
第148章 翻手镇压: https://www.xbiquge.bz/book/23758/15030776.html
第149章 大战: https://www.xbiquge.bz/book/23758/15030777.html
第150章 东夷族天才: https://www.xbiquge.bz/book/23758/15030778.html
第151章 顶尖天才: https://www.xbiquge.bz/book/23758/15030779.html
第152章 陆鸣出手: https://www.xbiquge.bz/book/23758/15030780.html
第153章 前往九妖山: https://www.xbiquge.bz/book/23758/15030781.html
第154章 激战: https://www.xbiquge.bz/book/23758/15030782.html
第155章 冲进遗迹: https://www.xbiquge.bz/book/23758/15030783.html
第156章 分道扬镳: https://www.xbiquge.bz/book/23758/15030784.html
第157章 一箱秘籍: https://www.xbiquge.bz/book/23758/15030785.html
