番外：陆鸣斩轮回身: https://www.xbiquge.bz/book/53235/40728111.html
番外篇，下: https://www.xbiquge.bz/book/53235/40153823.html
番外篇，中: https://www.xbiquge.bz/book/53235/40153822.html
番外篇，上: https://www.xbiquge.bz/book/53235/40149434.html
番外.叶青篇（免费）: https://www.xbiquge.bz/book/53235/40141154.html
完结感言: https://www.xbiquge.bz/book/53235/39981333.html
第105章 大战姚天宇: https://www.xbiquge.bz/book/53235/36797363.html
第106章 玄级武技，我也会: https://www.xbiquge.bz/book/53235/36797364.html
第107章 你，没有这个资格: https://www.xbiquge.bz/book/53235/36797365.html
第108章 四院大比: https://www.xbiquge.bz/book/53235/36797366.html
第109章 朱雀院院长: https://www.xbiquge.bz/book/53235/36797367.html
第110章 大比开始: https://www.xbiquge.bz/book/53235/36797368.html
第111章 嚣张的端木家族: https://www.xbiquge.bz/book/53235/36797369.html
第112章 初战: https://www.xbiquge.bz/book/53235/36797370.html
第113章 我认输: https://www.xbiquge.bz/book/53235/36797371.html
第114章 虐菜: https://www.xbiquge.bz/book/53235/36797372.html
第115章 叫板青铜第二: https://www.xbiquge.bz/book/53235/36797373.html
第116章 新人王，新人王: https://www.xbiquge.bz/book/53235/36797374.html
第117章 烈焰牢笼: https://www.xbiquge.bz/book/53235/36797375.html
第118章 奖励？: https://www.xbiquge.bz/book/53235/36797376.html
第119章 秘术，兽狂诀: https://www.xbiquge.bz/book/53235/36797377.html
第120章 进入前十: https://www.xbiquge.bz/book/53235/36797378.html
第121章 连场大战: https://www.xbiquge.bz/book/53235/36797379.html
第122章 遥遥领先的两位天才: https://www.xbiquge.bz/book/53235/36797380.html
第123章 止不住的连胜: https://www.xbiquge.bz/book/53235/36797381.html
第124章 巅峰对决: https://www.xbiquge.bz/book/53235/36797382.html
第125章 金之势: https://www.xbiquge.bz/book/53235/36797383.html
第126章 突破，突破: https://www.xbiquge.bz/book/53235/36797384.html
第127章 你不配做我的对手: https://www.xbiquge.bz/book/53235/36797385.html
第128章 这才是巅峰对决: https://www.xbiquge.bz/book/53235/36797386.html
第129章 四院第一: https://www.xbiquge.bz/book/53235/36797387.html
第130章 丰厚的奖励: https://www.xbiquge.bz/book/53235/36797388.html
第131章 修炼凌空步: https://www.xbiquge.bz/book/53235/36797389.html
第132章 三级妖兽，妖丹: https://www.xbiquge.bz/book/53235/36797390.html
第133章 再见秋月: https://www.xbiquge.bz/book/53235/36797391.html
第134章 寒冰血脉: https://www.xbiquge.bz/book/53235/36797392.html
第135章 张牧云定亲: https://www.xbiquge.bz/book/53235/36797393.html
第136章 麒麟院挑衅: https://www.xbiquge.bz/book/53235/36797394.html
第137章 强大的特殊血脉: https://www.xbiquge.bz/book/53235/36797395.html
第138章 完全压制: https://www.xbiquge.bz/book/53235/36797396.html
第139章 双剑之战: https://www.xbiquge.bz/book/53235/36797397.html
第140章 更狂: https://www.xbiquge.bz/book/53235/36797398.html
第141章 一起上吧: https://www.xbiquge.bz/book/53235/36797399.html
第142章 在我面前，你是垃圾: https://www.xbiquge.bz/book/53235/36797400.html
第143章 交友不慎啊: https://www.xbiquge.bz/book/53235/36797401.html
第144章 调戏穆兰: https://www.xbiquge.bz/book/53235/36797402.html
第145章 又一年考核日: https://www.xbiquge.bz/book/53235/36797403.html
第146章 大武师，突破: https://www.xbiquge.bz/book/53235/36797404.html
第147章 东夷族: https://www.xbiquge.bz/book/53235/36797405.html
第148章 翻手镇压: https://www.xbiquge.bz/book/53235/36797406.html
第149章 大战: https://www.xbiquge.bz/book/53235/36797407.html
第150章 东夷族天才: https://www.xbiquge.bz/book/53235/36797408.html
第151章 顶尖天才: https://www.xbiquge.bz/book/53235/36797409.html
第152章 陆鸣出手: https://www.xbiquge.bz/book/53235/36797410.html
第153章 前往九妖山: https://www.xbiquge.bz/book/53235/36797411.html
第154章 激战: https://www.xbiquge.bz/book/53235/36797412.html
第155章 冲进遗迹: https://www.xbiquge.bz/book/53235/36797413.html
第156章 分道扬镳: https://www.xbiquge.bz/book/53235/36797414.html
第157章 一箱秘籍: https://www.xbiquge.bz/book/53235/36797415.html
第158章 偷袭，击杀: https://www.xbiquge.bz/book/53235/36797416.html
第159章 大量灵晶: https://www.xbiquge.bz/book/53235/36797417.html
第160章 奇妙的第三平台: https://www.xbiquge.bz/book/53235/36797418.html
第161章 镇妖枪: https://www.xbiquge.bz/book/53235/36797419.html
第162章 狼形洞府: https://www.xbiquge.bz/book/53235/36797420.html
第163章 洞府之内: https://www.xbiquge.bz/book/53235/36797421.html
第164章 神秘人: https://www.xbiquge.bz/book/53235/36797422.html
第165章 绝色美女: https://www.xbiquge.bz/book/53235/36797423.html
第166章 你往哪抓呢: https://www.xbiquge.bz/book/53235/36797424.html
第167章 火焰通道: https://www.xbiquge.bz/book/53235/36797425.html
第168章 玉剑与戒指: https://www.xbiquge.bz/book/53235/36797426.html
第169章 兽王魂: https://www.xbiquge.bz/book/53235/36797427.html
第170章 陆鸣死了: https://www.xbiquge.bz/book/53235/36797428.html
第171章 谢念卿，地级武技: https://www.xbiquge.bz/book/53235/36797429.html
第172章 苦修: https://www.xbiquge.bz/book/53235/36797430.html
第173章 百岁虾: https://www.xbiquge.bz/book/53235/36797431.html
第174章 回归: https://www.xbiquge.bz/book/53235/36797432.html
第175章 陆家惊变: https://www.xbiquge.bz/book/53235/36797433.html
第176章 陆鸣没死: https://www.xbiquge.bz/book/53235/36797434.html
第177章 大战爆发: https://www.xbiquge.bz/book/53235/36797435.html
第178章 杀宁空: https://www.xbiquge.bz/book/53235/36797436.html
第179章 追杀: https://www.xbiquge.bz/book/53235/36797437.html
第180章 杀上白虎院: https://www.xbiquge.bz/book/53235/36797438.html
第181章 出大事了: https://www.xbiquge.bz/book/53235/36797439.html
第182章 战宗师: https://www.xbiquge.bz/book/53235/36797440.html
第183章 融妖王之魂: https://www.xbiquge.bz/book/53235/36797441.html
第184章 日月同辉: https://www.xbiquge.bz/book/53235/36797442.html
第185章 两院院长出手: https://www.xbiquge.bz/book/53235/36797443.html
第186章 脑袋被驴踢了: https://www.xbiquge.bz/book/53235/36797444.html
第187章 压迫: https://www.xbiquge.bz/book/53235/36797445.html
第188章 退出宗门: https://www.xbiquge.bz/book/53235/36797446.html
第189章 一枪在手，横行天下: https://www.xbiquge.bz/book/53235/36797447.html
第190章 整顿陆家: https://www.xbiquge.bz/book/53235/36797448.html
第191章 影狼阁又现: https://www.xbiquge.bz/book/53235/36797449.html
第192章 荒林大战: https://www.xbiquge.bz/book/53235/36797450.html
